,origin_puma,dest_puma,od_counts
771,17_3208,17_3527,7
772,17_3208,17_3528,127
773,17_3208,17_3529,127
774,17_3208,17_3532,2
775,17_3208,17_3601,1464
776,17_3208,17_3602,4306
777,17_3208,17_3700,876
778,17_3209,17_3005,16280
779,17_3209,17_3007,22437
780,17_3209,17_3008,5003
781,17_3209,17_3009,7308
782,17_3209,17_3102,2409
783,17_3209,17_3105,4938
784,17_3209,17_3106,5884
785,17_3209,17_3107,637
786,17_3209,17_3108,270
787,17_3209,17_3202,23066
788,17_3209,17_3203,9172
789,17_3209,17_3204,4703
790,17_3209,17_3205,10467
791,17_3209,17_3207,22183
792,17_3209,17_3208,31061
793,17_3209,17_3209,25772
794,17_3209,17_3306,460
795,17_3209,17_3307,154
796,17_3209,17_3308,2221
797,17_3209,17_3309,1508
798,17_3209,17_3310,4955
799,17_3209,17_3401,2499
800,17_3209,17_3407,4852
801,17_3209,17_3408,85
802,17_3209,17_3409,1603
803,17_3209,17_3410,801
804,17_3209,17_3411,96
805,17_3209,17_3412,39
806,17_3209,17_3413,14
807,17_3209,17_3414,10
808,17_3209,17_3415,4557
809,17_3209,17_3416,8020
810,17_3209,17_3417,14241
811,17_3209,17_3418,9059
812,17_3209,17_3419,6476
813,17_3209,17_3420,7637
814,17_3209,17_3421,3861
815,17_3209,17_3422,9551
816,17_3209,17_3501,36
817,17_3209,17_3503,71
818,17_3209,17_3504,471
819,17_3209,17_3520,327
820,17_3209,17_3521,18
821,17_3209,17_3522,110
822,17_3209,17_3523,69
823,17_3209,17_3524,33
824,17_3209,17_3525,21
825,17_3209,17_3526,21
826,17_3209,17_3527,24
827,17_3209,17_3528,289
828,17_3209,17_3529,188
829,17_3209,17_3530,31
830,17_3209,17_3532,3
831,17_3209,17_3601,273
832,17_3209,17_3602,1607
833,17_3209,17_3700,4333
834,17_3306,17_3007,126
835,17_3306,17_3008,4179
836,17_3306,17_3009,700
837,17_3306,17_3207,110
838,17_3306,17_3208,6
839,17_3306,17_3306,7544
840,17_3306,17_3307,2776
841,17_3306,17_3308,5119
842,17_3306,17_3309,6357
843,17_3306,17_3310,1201
844,17_3306,17_3401,1698
845,17_3306,17_3415,544
846,17_3306,17_3416,487
847,17_3306,17_3417,1000
848,17_3306,17_3418,233
849,17_3306,17_3419,383
850,17_3306,17_3420,162
851,17_3306,17_3421,11
852,17_3306,17_3422,223
853,17_3306,17_3601,2196
854,17_3306,17_3602,6068
855,17_3307,17_3007,849
856,17_3307,17_3008,21867
857,17_3307,17_3009,3852
858,17_3307,17_3202,27
859,17_3307,17_3205,95
860,17_3307,17_3207,352
861,17_3307,17_3208,98
862,17_3307,17_3306,7727
863,17_3307,17_3307,16868
864,17_3307,17_3308,20342
865,17_3307,17_3309,21146
866,17_3307,17_3310,10973
867,17_3307,17_3401,10463
868,17_3307,17_3407,2
869,17_3307,17_3415,4347
870,17_3307,17_3416,3952
871,17_3307,17_3417,9121
872,17_3307,17_3418,3352
873,17_3307,17_3419,2692
874,17_3307,17_3420,2124
875,17_3307,17_3421,1545
876,17_3307,17_3422,196
877,17_3307,17_3503,12
878,17_3307,17_3504,31
879,17_3307,17_3520,31
880,17_3307,17_3521,51
881,17_3307,17_3523,105
882,17_3307,17_3524,54
883,17_3307,17_3601,4206
884,17_3307,17_3602,18735
885,17_3308,17_3005,3
886,17_3308,17_3007,314
887,17_3308,17_3008,4008
888,17_3308,17_3009,1025
889,17_3308,17_3202,12
890,17_3308,17_3203,2
891,17_3308,17_3204,11
892,17_3308,17_3205,23
893,17_3308,17_3207,763
894,17_3308,17_3208,114
895,17_3308,17_3306,12413
896,17_3308,17_3307,3426
897,17_3308,17_3308,11036
898,17_3308,17_3309,10248
899,17_3308,17_3310,4979
900,17_3308,17_3401,5902
901,17_3308,17_3415,4247
902,17_3308,17_3416,1260
903,17_3308,17_3417,2518
904,17_3308,17_3418,1621
905,17_3308,17_3419,3132
906,17_3308,17_3420,1141
907,17_3308,17_3421,80
908,17_3308,17_3422,516
909,17_3308,17_3504,59
910,17_3308,17_3529,34
911,17_3308,17_3601,3511
912,17_3308,17_3602,9760
913,17_3309,17_3007,427
914,17_3309,17_3008,12934
915,17_3309,17_3009,2732
916,17_3309,17_3202,35
917,17_3309,17_3205,103
918,17_3309,17_3207,523
919,17_3309,17_3208,241
920,17_3309,17_3306,10768
921,17_3309,17_3307,13128
922,17_3309,17_3308,17926
923,17_3309,17_3309,24071
924,17_3309,17_3310,14946
925,17_3309,17_3401,10222
926,17_3309,17_3415,6207
927,17_3309,17_3416,3547
928,17_3309,17_3417,5625
929,17_3309,17_3418,2460
930,17_3309,17_3419,3393
931,17_3309,17_3420,1858
932,17_3309,17_3421,1603
933,17_3309,17_3422,376
934,17_3309,17_3504,38
935,17_3309,17_3521,2
936,17_3309,17_3523,14
937,17_3309,17_3524,12
938,17_3309,17_3601,5229
939,17_3309,17_3602,16260
940,17_3310,17_3005,3
941,17_3310,17_3007,546
942,17_3310,17_3008,10327
943,17_3310,17_3009,2523
944,17_3310,17_3106,2
945,17_3310,17_3202,23
946,17_3310,17_3203,47
947,17_3310,17_3204,1
948,17_3310,17_3205,16
949,17_3310,17_3207,568
950,17_3310,17_3208,206
951,17_3310,17_3209,46
952,17_3310,17_3306,13279
