,origin_puma,dest_puma,od_counts,color
756,06_1307,06_8506,30,green
757,06_1308,06_101,4473,green
758,06_1308,06_102,25134,orange
759,06_1308,06_103,13981,yellow
760,06_1308,06_104,14970,yellow
761,06_1308,06_105,10356,yellow
762,06_1308,06_106,1299,green
763,06_1308,06_107,167,green
764,06_1308,06_108,209,green
765,06_1308,06_109,210,green
766,06_1308,06_110,504,green
767,06_1308,06_1301,1246,green
768,06_1308,06_1302,1369,green
769,06_1308,06_1303,4561,green
770,06_1308,06_1304,4797,green
771,06_1308,06_1305,676,green
772,06_1308,06_1306,6203,lime
773,06_1308,06_1307,900,green
774,06_1308,06_1308,503,green
775,06_1308,06_1309,346,green
776,06_1308,06_4101,6,green
777,06_1308,06_4102,84,green
778,06_1308,06_7502,251,green
779,06_1308,06_7503,1,green
780,06_1308,06_7507,56,green
781,06_1308,06_8101,4,green
782,06_1308,06_8102,11,green
783,06_1308,06_8103,18,green
784,06_1308,06_8104,21,green
785,06_1308,06_8105,20,green
786,06_1308,06_8106,24,green
787,06_1308,06_8501,49,green
788,06_1308,06_8502,47,green
789,06_1308,06_8503,22,green
790,06_1308,06_8504,62,green
791,06_1308,06_8505,13,green
792,06_1308,06_8506,33,green
793,06_1308,06_8507,4,green
794,06_1308,06_8509,5,green
795,06_1308,06_8510,4,green
796,06_1308,06_8513,7,green
797,06_1308,06_8514,10,green
798,06_1309,06_101,3252,green
799,06_1309,06_102,19802,yellow
800,06_1309,06_103,11387,yellow
801,06_1309,06_104,11325,yellow
802,06_1309,06_105,9124,lime
803,06_1309,06_106,1103,green
804,06_1309,06_107,140,green
805,06_1309,06_108,151,green
806,06_1309,06_109,143,green
807,06_1309,06_110,492,green
808,06_1309,06_1301,1060,green
809,06_1309,06_1302,1235,green
810,06_1309,06_1303,3635,green
811,06_1309,06_1304,4031,green
812,06_1309,06_1305,629,green
813,06_1309,06_1306,4714,green
814,06_1309,06_1307,466,green
815,06_1309,06_1308,453,green
816,06_1309,06_1309,307,green
817,06_1309,06_4102,56,green
818,06_1309,06_7502,222,green
819,06_1309,06_7507,50,green
820,06_1309,06_8102,3,green
821,06_1309,06_8103,12,green
822,06_1309,06_8104,15,green
823,06_1309,06_8105,13,green
824,06_1309,06_8106,10,green
825,06_1309,06_8501,38,green
826,06_1309,06_8502,44,green
827,06_1309,06_8503,17,green
828,06_1309,06_8504,51,green
829,06_1309,06_8505,11,green
830,06_1309,06_8506,22,green
831,06_1309,06_8507,4,green
832,06_1309,06_8509,2,green
833,06_1309,06_8510,4,green
834,06_1309,06_8513,7,green
835,06_1309,06_8514,10,green
836,06_4101,06_101,81,green
837,06_4101,06_102,17,green
838,06_4101,06_103,36,green
839,06_4101,06_104,7,green
840,06_4101,06_105,24,green
841,06_4101,06_106,30,green
842,06_4101,06_107,25,green
843,06_4101,06_108,16,green
844,06_4101,06_109,3,green
845,06_4101,06_110,10,green
846,06_4101,06_1301,828,green
847,06_4101,06_1302,74,green
848,06_4101,06_1303,88,green
849,06_4101,06_1304,124,green
850,06_4101,06_1305,28,green
851,06_4101,06_1306,84,green
852,06_4101,06_1307,2,green
853,06_4101,06_4101,313,green
854,06_4101,06_4102,1091,green
855,06_4101,06_7501,24,green
856,06_4101,06_7502,17,green
857,06_4101,06_7504,2,green
858,06_4101,06_8101,9,green
859,06_4101,06_8102,38,green
860,06_4101,06_8103,54,green
861,06_4101,06_8104,38,green
862,06_4101,06_8105,18,green
863,06_4101,06_8106,12,green
864,06_4101,06_8501,3,green
865,06_4102,06_101,173,green
866,06_4102,06_102,43,green
867,06_4102,06_103,67,green
868,06_4102,06_104,16,green
869,06_4102,06_105,49,green
870,06_4102,06_106,65,green
871,06_4102,06_107,48,green
872,06_4102,06_108,59,green
873,06_4102,06_109,21,green
874,06_4102,06_110,30,green
875,06_4102,06_1301,1305,green
876,06_4102,06_1302,345,green
